Year,Round,Overall,Team,Player,Nat.
1992,7,157,Edmonton Oilers,Steve Gibson,CA
1992,1,6,Calgary Flames,Cory Stillman,CA
1992,1,4,Quebec Nordiques,Todd Warriner,CA
1994,5,105,Florida Panthers,Dave Geris,CA
1994,1,1,Florida Panthers,Ed Jovanovski,CA
1995,6,148,New Jersey Devils,Adam Young,CA
1995,4,82,Chicago Blackhawks,Chris Van Dyk,CA
1995,3,65,New York Rangers,Mike Martin,CA
1995,2,41,New York Islanders,D.J. Smith,CA
1996,5,118,New Jersey Devils,Glenn Crawford,CA
1997,6,144,Vancouver Canucks,Matt Cooke,CA
1997,6,141,Edmonton Oilers,Peter Sarno,CA
1997,3,75,Buffalo Sabres,Jeff Martin,CA
1997,3,61,Tampa Bay Lightning,Matt Elich,US
1997,2,31,New York Islanders,Jeff Zehr,CA
1998,4,95,New York Islanders,Andy Burnham,CA
1999,7,190,Calgary Flames,Blair Stayzer,CA
1999,6,165,Chicago Blackhawks,Michael Leighton,CA
2000,9,277,Buffalo Sabres,Ryan Courtney,CA
2000,1,25,Dallas Stars,Steve Ott,CA
2001,1,2,Ottawa Senators,Jason Spezza,CA
2001,1,23,Ottawa Senators,Tim Gleason,US
2002,4,117,New Jersey Devils,Cam Janssen,US
2002,3,85,New Jersey Devils,Ahren Nittel,CA
2003,4,118,Boston Bruins,Frank Rediker,US
2003,3,97,Calgary Flames,Ryan Donally,CA
2004,4,120,Chicago Blackhawks,Mitch Maunu,CA
2004,2,45,Chicago Blackhawks,Ryan Garlock,CA
2005,7,213,Nashville Predators,Scott Todd,CA
2005,5,150,Nashville Predators,Cal O'Reilly,CA
2005,1,29,Philadelphia Flyers,Steve Downie,CA
2006,6,155,Florida Panthers,Peter Aston,CA
2006,2,57,Buffalo Sabres,Mike Weber,US
2007,6,156,Chicago Blackhawks,Richard Greenop,CA
2007,5,143,Calgary Flames,Mickey Renaud,CA
2008,7,202,New Jersey Devils,Harry Young,CA
2008,3,82,New Jersey Devils,Adam Henrique,CA
2008,1,25,Calgary Flames,Greg Nemisz,CA
2008,1,9,New York Islanders,Josh Bailey,CA
2009,6,172,Philadelphia Flyers,Eric Wellwood,CA
2009,6,165,Florida Panthers,Scott Timmins,CA
2009,4,112,Boston Bruins,Lane MacDermid,US
2009,2,58,Toronto Maple Leafs,Jesse Blacker,CA
2009,1,11,Nashville Predators,Ryan Ellis,CA
2010,4,112,Washington Capitals,Philipp Grubauer,DE
2010,4,105,Carolina Hurricanes,Justin Shugg,CA
2010,1,12,Anaheim Ducks,Cam Fowler,CA
2010,1,1,Edmonton Oilers,Taylor Hall,CA
2011,2,40,Boston Bruins,Alexander Khokhlachev,RU
2012,7,211,Los Angeles Kings,Nick Ebert,US
2012,5,132,Colorado Avalanche,Michael Clarke,CA
2012,4,94,Montreal Canadiens,Brady Vail,US
2012,3,90,New Jersey Devils,Ben Johnson,US
2013,1,19,Columbus Blue Jackets,Kerby Rychel,US
2014,7,195,Dallas Stars,Patrick Sanvido,CA
2014,6,170,Tampa Bay Lightning,Cristiano Digiacinto,CA
2014,1,28,New York Islanders,Joshua Ho-Sang,CA
2016,1,18,Winnipeg Jets,Logan Stanley,CA
2016,1,11,Ottawa Senators,Logan Brown,US
2016,1,9,Montreal Canadiens,Mikhail Sergachev,RU
2017,3,64,Vancouver Canucks,Michael Dipietro,CA
2017,1,11,Los Angeles Kings,Gabriel Vilardi,CA
2018,5,154,Vegas Golden Knights,Connor Corcoran,CA
2018,4,106,Dallas Stars,Curtis Douglas,CA
2019,7,212,Columbus Blue Jackets,Tyler Angle,CA
